DY
189
20
life_expectancy_at_birth_years;expected_years_of_schooling_years;mean_years_of_schooling_years;gross_national_income_GNI_per_capita_2017_PPP_$;GNI_rank_minus_HDI_rank;GINI_coefficient_2010-2018;life_expectancy_at_birth_women_years;life_expectancy_at_birth_men_years;expected_years_of_schooling_women_years;expected_years_of_schooling_men_years;population_millions;healthy_life_expectancy_at_birth;health_expenditure_2017_%_GDP;GDP_2017_PPP_$_billions;labour_force_participation_rate_%_aged_15_or_older;%_share_of_seats_in_parliament_women;adolescent_birth_rate_girls_aged_15-19;predicted_population_2030;total_fertility_rate_per_woman_2015-2020;prison_population_per_100_000
Brazil;75.9;15.4;8.0;14263;1;53.9;79.6;72.2;15.8;15.1;211.0;65.2;9.5;3092.2;63.9;15.0;59.1;223.9;1.7;344;2
China;76.9;14.0;8.1;16057;-11;38.5;79.2;74.8;14.0;14.0;1433.8;68.5;5.2;22526.6;68.0;24.9;7.6;1464.3;1.7;110;2
Ecuador;77.0;14.6;8.9;11044;19;45.4;79.8;74.3;14.9;14.3;17.4;66.7;8.3;197.6;68.0;38.0;79.3;19.8;2.4;220;2
Saint Lucia;76.2;14.0;8.5;14616;-4;51.2;77.6;74.9;14.7;13.3;0.2;65.1;4.5;2.8;67.1;20.7;40.5;0.2;1.4;291;2
Azerbaijan;73.0;12.9;10.6;13784;3;;75.5;70.5;13.0;12.8;10.0;63.0;6.7;144.4;66.5;16.8;55.8;10.7;2.1;220;2
Dominican Republic;74.1;14.2;8.1;17591;-18;43.7;77.4;71.0;15.0;13.5;10.7;64.2;6.1;197.8;64.3;24.3;94.3;11.8;2.4;245;2
Moldova (Republic of);71.9;11.5;11.7;13664;2;25.7;76.2;67.6;11.8;11.3;4.0;65.1;7.0;34.6;43.1;25.7;22.4;3.9;1.3;173;2
Algeria;76.9;14.6;8.0;11174;13;27.6;78.1;75.7;14.8;14.4;43.1;66.3;6.4;488.6;41.2;21.5;10.1;50.4;3.1;149;2
Lebanon;78.9;11.3;8.7;14655;-11;31.8;80.9;77.1;11.1;11.5;6.9;66.0;8.2;100.9;47.0;4.7;14.5;6.2;2.1;92;2
Fiji;67.4;14.4;10.9;13009;1;36.7;69.3;65.7;;;0.9;59.7;3.5;12.3;57.6;19.6;49.4;1.0;2.8;209;2
Dominica;78.2;13.0;8.1;11884;7;;;;;;0.1;63.1;5.9;0.9;;25.0;;0.1;;268;2
Maldives;78.9;12.2;7.0;17417;-24;31.3;80.8;77.5;12.3;12.1;0.5;69.1;9.0;10.0;69.8;4.6;7.8;0.5;1.9;373;2
Tunisia;76.7;15.1;7.2;10414;14;32.8;78.7;74.7;15.8;14.3;11.7;67.4;7.2;125.8;46.1;22.6;7.8;12.8;2.2;195;2
Saint Vincent and the Grenadines;72.5;14.1;8.8;12378;0;;75.1;70.3;14.2;14.0;0.1;63.6;4.5;1.4;65.9;13.0;49.0;0.1;1.9;426;2
Suriname;71.7;13.2;9.3;14324;-13;;75.1;68.5;13.8;12.5;0.6;62.9;6.2;9.5;51.1;31.4;61.7;0.6;2.4;192;2
Mongolia;69.9;14.2;10.3;10839;7;32.7;74.1;65.8;14.8;13.7;3.2;60.4;4.0;39.7;59.7;17.3;31.0;3.7;2.9;152;2
Botswana;69.6;12.8;9.6;16437;-27;53.3;72.4;66.5;13.0;12.7;2.3;54.1;6.1;40.9;70.8;10.8;46.1;2.8;2.9;197;2
Jamaica;74.5;13.1;9.7;9319;13;;76.1;72.9;13.9;12.4;2.9;66.5;6.0;28.8;66.0;19.0;52.8;3.0;2.0;132;2
Jordan;74.5;11.4;10.5;9858;8;33.7;76.3;72.8;11.6;11.1;10.1;68.0;8.1;100.1;39.3;15.4;25.9;10.7;2.8;160;2
Paraguay;74.3;12.7;8.5;12224;-4;46.2;76.4;72.3;13.0;12.4;7.0;66.4;6.7;89.4;72.1;16.8;70.5;7.9;2.4;210;2
Tonga;70.9;14.4;11.2;6365;25;37.6;72.9;69.0;14.6;14.0;0.1;63.9;5.3;0.6;59.8;7.4;14.7;0.1;3.6;174;2
Libya;72.9;12.9;7.6;15688;-29;;76.0;70.1;13.1;12.6;6.8;65.3;;102.8;49.7;16.0;5.8;7.6;2.3;97;2
Uzbekistan;71.7;12.1;11.8;7142;17;;73.8;69.6;11.9;12.2;33.0;60.9;6.4;235.0;65.1;16.4;23.8;37.4;2.4;144;2
Bolivia (Plurinational State of);71.5;14.2;9.0;8554;9;42.2;74.5;68.7;14.2;14.2;11.5;63.1;6.4;100.4;71.8;51.8;64.9;13.2;2.8;160;2
Indonesia;71.7;13.6;8.2;11459;-4;39.0;74.0;69.6;13.7;13.5;270.6;62.6;3.0;3196.7;67.5;17.4;47.4;299.2;2.3;96;2
Philippines;71.2;13.1;9.4;9778;4;44.4;75.5;67.3;13.5;12.8;108.1;62.7;4.4;963.1;59.6;28.0;54.2;123.7;2.6;183;2
Belize;74.6;13.1;9.9;6382;18;;77.8;71.7;13.4;12.8;0.4;65.1;5.6;2.7;65.1;11.1;68.5;0.5;2.3;345;2
Samoa;73.3;12.7;10.8;6309;19;38.7;75.5;71.3;13.2;12.3;0.2;61.8;5.5;1.3;43.7;10.0;23.9;0.2;3.9;205;2
Turkmenistan;68.2;11.2;10.3;14909;-32;;71.7;64.7;10.9;11.5;5.9;62.9;6.9;86.9;64.5;25.0;24.4;6.8;2.8;529;2
Venezuela (Bolivarian Republic of);72.1;12.8;10.3;7045;11;;76.0;68.3;13.8;11.8;28.5;65.4;1.2;;59.7;22.2;85.3;33.6;2.3;194;2
South Africa;64.1;13.8;10.2;12129;-14;63.0;67.7;60.7;14.2;13.4;58.6;56.2;8.1;730.9;56.0;45.3;67.9;66.0;2.4;284;2
Palestine State of;74.1;13.4;9.2;6417;12;33.7;75.8;72.4;14.3;12.6;5.0;64.4;;25.9;43.8;;52.8;6.3;3.7;22;2
Egypt;72.0;13.3;7.4;11466;-14;31.5;74.4;69.7;13.3;13.3;100.4;62.5;5.3;1180.9;46.4;14.9;53.8;120.8;3.3;112;2
Marshall Islands;74.1;12.4;10.9;5039;21;;;;;;0.1;57.4;16.4;0.2;;6.1;;0.1;;61;2
Viet Nam;75.4;12.7;8.3;7433;3;35.7;79.5;71.3;12.9;12.5;96.5;65.7;5.5;775.7;77.4;26.7;30.9;104.2;2.1;137;2
Gabon;66.5;13.0;8.7;13930;-30;38.0;68.7;64.4;12.6;13.4;2.2;58.8;2.8;32.3;52.9;17.9;96.2;2.7;4.0;173;2
Kyrgyzstan;71.5;13.0;11.1;4864;23;27.7;75.6;67.4;13.2;12.7;6.4;64.9;6.2;33.9;59.8;19.2;32.8;7.4;3.0;177;3
Morocco;76.7;13.7;5.6;7368;1;39.5;77.9;75.4;13.3;14.1;36.5;63.8;5.2;278.5;45.3;18.4;31.0;40.9;2.4;233;3
Guyana;69.9;11.4;8.5;9455;-10;;73.1;66.9;11.6;11.3;0.8;58.4;4.9;7.6;56.2;31.9;74.4;0.8;2.5;275;3
Iraq;70.6;11.3;7.3;10801;-16;29.5;72.7;68.6;10.4;12.2;39.3;63.4;4.2;427.7;43.0;25.2;71.7;50.2;3.7;105;3
El Salvador;73.3;11.7;6.9;8359;-6;38.6;77.8;68.5;11.5;11.7;6.5;65.5;7.2;56.6;59.1;31.0;69.5;6.8;2.1;617;3
Tajikistan;71.1;11.7;10.7;3954;25;34.0;73.4;68.9;10.7;12.6;9.3;61.8;7.2;31.5;42.0;20.0;57.1;11.6;3.6;;3
Cabo Verde;73.0;12.7;6.3;7019;-1;42.4;76.2;69.5;13.0;12.4;0.5;64.6;5.2;3.9;60.5;23.6;73.8;0.6;2.3;288;3
Guatemala;74.3;10.8;6.6;8494;-10;48.3;77.2;71.4;10.6;10.9;17.6;62.9;5.8;143.4;62.4;19.4;70.9;21.2;2.9;141;3
Nicaragua;74.5;12.3;6.9;5284;6;46.2;78.0;70.9;12.6;12.1;6.5;65.8;8.6;35.4;66.4;44.6;85.0;7.4;2.4;324;3
Bhutan;71.8;13.0;4.1;10746;-21;37.4;72.2;71.4;13.5;12.8;0.8;63.2;3.2;8.6;66.7;15.3;20.2;0.8;2.0;156;3
Namibia;63.7;12.6;7.0;9357;-17;59.1;66.5;60.7;12.7;12.5;2.5;56.8;8.6;24.0;59.5;37.0;63.6;3.0;3.4;314;3
India;69.7;12.2;6.5;6681;-5;37.8;71.0;68.5;12.6;11.7;1366.4;60.5;3.5;9229.2;49.3;13.5;13.2;1503.6;2.2;33;3
Honduras;75.3;10.1;6.6;5308;1;52.1;77.6;73.0;10.5;9.6;9.7;63.0;7.9;55.8;68.8;21.1;72.9;11.4;2.5;216;3
Bangladesh;72.6;11.6;6.2;4976;7;32.4;74.6;70.9;12.0;11.2;163.0;64.5;2.3;775.1;59.0;20.6;83.0;179.0;2.1;52;3
Kiribati;68.4;11.8;8.0;4260;12;;72.3;64.2;12.2;11.4;0.1;53.5;10.8;0.3;;6.5;16.2;0.1;3.6;114;3
Sao Tome and Principe;70.4;12.7;6.4;3952;16;56.3;72.8;68.0;12.8;12.6;0.2;62.3;6.2;0.9;57.8;14.5;94.6;0.3;4.4;120;3
Micronesia (Federated States of);67.9;11.5;7.8;3983;13;40.1;69.6;66.2;;;0.1;56.7;12.4;0.4;;0.0;13.9;0.1;3.1;123;3
Lao People's Democratic Republic;67.9;11.0;5.3;7413;-16;36.4;69.7;66.1;10.7;11.3;7.2;60.7;2.5;56.1;78.5;27.5;65.4;8.2;2.7;122;3
